# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000001776e+00 2.236490647011549299e+03 2.250000000000002728e+03 -1.350935298845357302e+01 -4.218847493575594854e-14 -4.529709940470638685e-14 -1.443289932012703503e-14
1.000000000000000000e+02 5.000000000000000000e-01 1.530606745749327313e+00 2.236485232743101278e+03 2.295910118623990911e+03 -5.942488588088950507e+01 -6.084022174945857842e-14 -6.039613253960851580e-14 -6.816769371198461158e-14
2.000000000000000000e+02 1.000000000000000000e+00 1.624581520359439812e+00 2.236472707107493989e+03 2.436872280539159874e+03 -2.003995734316660275e+02 -5.151434834260726348e-14 -6.483702463810914196e-14 1.598721155460225418e-14
3.000000000000000000e+02 1.500000000000000000e+00 1.628815426060357119e+00 2.236403739760523422e+03 2.443223139090535824e+03 -2.068193993300126010e+02 -3.996802888650563546e-15 8.881784197001252323e-15 -1.332267629550187849e-14
4.000000000000000000e+02 2.000000000000000000e+00 1.635620422925791573e+00 2.236428500447518672e+03 2.453430634388687395e+03 -2.170021339411687507e+02 -4.329869796038110508e-14 -5.329070518200751394e-14 -7.827072323607353610e-14
5.000000000000000000e+02 2.500000000000000000e+00 1.638266030495397985e+00 2.236432560630081298e+03 2.457399045743096849e+03 -2.209664851130157501e+02 -3.330669073875469621e-14 -1.509903313490212895e-14 2.275957200481570908e-14
6.000000000000000000e+02 3.000000000000000000e+00 1.626430957658749232e+00 2.236393494846698104e+03 2.439646436488123982e+03 -2.032529416414257639e+02 3.663735981263016583e-14 -9.325873406851314940e-14 -1.754152378907747334e-14
7.000000000000000000e+02 3.500000000000000000e+00 1.630959336352731270e+00 2.236433893753347093e+03 2.446439004529097019e+03 -2.100051107757500120e+02 -1.487698852997709764e-13 1.820765760385256726e-14 -3.330669073875469621e-14
8.000000000000000000e+02 4.000000000000000000e+00 1.650122447391473290e+00 2.236442813465453128e+03 2.475183671087209859e+03 -2.387408576217565610e+02 -1.021405182655144017e-13 2.817190924986334721e-14 -9.947598300641402602e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.648319836675825378e+00 2.236445165522740353e+03 2.472479755013738213e+03 -2.360345894909979734e+02 -1.676436767183986376e-13 1.261213355974177830e-13 -4.385380947269368335e-14
