# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999334e+00 2.812499999999998863e+02 2.812499999999998863e+02 0.000000000000000000e+00 -8.881784197001252323e-16 -4.662936703425657470e-15 -2.442490654175344389e-15
1.000000000000000000e+02 5.000000000000000000e-01 1.499999999999999334e+00 2.812499999999998863e+02 2.812499999999998863e+02 0.000000000000000000e+00 -8.881784197001252323e-16 -4.662936703425657470e-15 -2.442490654175344389e-15
2.000000000000000000e+02 1.000000000000000000e+00 1.500527620866001666e+00 2.812499847147203127e+02 2.813489289123752997e+02 -9.894419765501299979e-02 1.776356839400250465e-15 -4.662936703425657470e-15 1.998401444325281773e-15
3.000000000000000000e+02 1.500000000000000000e+00 1.508388002694075913e+00 2.812501237266525322e+02 2.828227505051392541e+02 -1.572626778486701848e+00 -3.941291737419305719e-15 1.265654248072678456e-14 -2.886579864025407005e-15
4.000000000000000000e+02 2.000000000000000000e+00 1.511821083445712866e+00 2.812468263218038373e+02 2.834664531460711601e+02 -2.219626824267324938e+00 -5.828670879282071837e-15 2.420286193682841258e-14 -1.160183060733288585e-14
5.000000000000000000e+02 2.500000000000000000e+00 1.515576301333385612e+00 2.812494290026304498e+02 2.841705565000098090e+02 -2.921127497379345073e+00 -3.080868893334809400e-14 2.131628207280300558e-14 -1.337818744673313631e-14
6.000000000000000000e+02 3.000000000000000000e+00 1.519711553893022593e+00 2.812499597692954012e+02 2.849459163549417440e+02 -3.695956585646364090e+00 -2.770006446439765568e-14 1.620925615952728549e-14 4.440892098500626162e-16
7.000000000000000000e+02 3.500000000000000000e+00 1.509383706791505908e+00 2.812500797757772375e+02 2.830094450234073520e+02 -1.759365247630139573e+00 -2.747801985947262438e-14 3.685940441755519714e-14 -7.327471962526033167e-15
8.000000000000000000e+02 4.000000000000000000e+00 1.518857493316862595e+00 2.812499646984111337e+02 2.847857799969117423e+02 -3.535815298500616155e+00 -1.509903313490212895e-14 3.042011087472928921e-14 1.232347557333923760e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.519887011749929684e+00 2.812500477843846625e+02 2.849788147031118228e+02 -3.728766918727134172e+00 -1.326716514427062066e-14 7.993605777301127091e-15 6.217248937900876626e-15
1.000000000000000000e+03 5.000000000000000000e+00 1.517077535856659720e+00 2.812500902577565398e+02 2.844520379731237085e+02 -3.201947715367151837e+00 -8.215650382226158399e-15 -5.773159728050814010e-15 1.104671909502030758e-14
1.100000000000000000e+03 5.500000000000000000e+00 1.521181026279759818e+00 2.812491617595060234e+02 2.852214424274549742e+02 -3.972280667948946409e+00 -1.865174681370262988e-14 0.000000000000000000e+00 -4.718447854656915297e-16
1.200000000000000000e+03 6.000000000000000000e+00 1.516108925658761208e+00 2.812503568130127860e+02 2.842704235610177079e+02 -3.020066748004935686e+00 -9.103828801926283631e-15 -6.772360450213454897e-15 6.106226635438360972e-16
1.300000000000000000e+03 6.500000000000000000e+00 1.523350611933781407e+00 2.812459602780597265e+02 2.856282397375840105e+02 -4.382279459524301757e+00 -9.048317650695025804e-15 -1.043609643147647148e-14 -9.048317650695025804e-15
1.400000000000000000e+03 7.000000000000000000e+00 1.513068630966191819e+00 2.812492065347810239e+02 2.837003683061609536e+02 -2.451161771379942955e+00 -2.808864252301646047e-14 -1.298960938811433152e-14 -2.214894934127187298e-14
1.500000000000000000e+03 7.500000000000000000e+00 1.507991755049051585e+00 2.812458040815969298e+02 2.827484540716971537e+02 -1.502649990100199950e+00 -4.096722960866827634e-14 -2.686739719592878828e-14 -2.864375403532903874e-14
1.600000000000000000e+03 8.000000000000000000e+00 1.501967161643561033e+00 2.812499130358394268e+02 2.816188428081676989e+02 -3.689297723282554120e-01 -3.363975764614224317e-14 -3.763656053479280672e-14 -3.763656053479280672e-14
1.700000000000000000e+03 8.500000000000000000e+00 1.506685990571205780e+00 2.812500504683213194e+02 2.825036232321010630e+02 -1.253572763779768007e+00 -3.785860513971783803e-14 -4.551914400963141816e-14 -3.874678355941796326e-14
