# r g(r)
0.050000 0.000000
0.150000 0.000000
0.250000 0.000000
0.350000 0.000000
0.450000 0.000000
0.550000 0.000000
0.650000 0.000000
0.750000 0.000000
0.850000 0.000000
0.950000 0.454403
1.050000 17.088750
1.150000 27.689119
1.250000 15.447597
1.350000 8.629777
1.450000 5.379789
1.550000 3.757489
1.650000 3.426505
1.750000 2.863067
1.850000 2.813787
1.950000 2.809664
2.050000 2.512993
2.150000 2.592488
2.250000 2.153722
2.350000 1.820765
2.450000 1.611368
2.550000 1.489584
2.650000 1.315008
2.750000 1.347755
2.850000 1.200945
2.950000 1.135061
3.050000 1.122157
3.150000 1.096169
3.250000 1.116540
3.350000 1.000896
3.450000 1.019584
3.550000 0.977068
3.650000 0.991020
3.750000 1.003086
3.850000 1.001502
3.950000 1.043512
4.050000 0.922552
4.150000 0.972371
4.250000 1.003658
4.350000 0.958768
4.450000 0.919618
4.550000 0.953000
4.650000 0.989018
4.750000 1.027861
4.850000 0.992311
4.950000 1.005114
5.050000 0.998966
5.150000 0.987374
5.250000 0.991321
5.350000 0.986159
5.450000 0.953066
5.550000 0.953235
5.650000 0.956223
5.750000 0.990293
5.850000 0.972719
5.950000 0.965420
6.050000 1.112075
6.150000 0.956466
6.250000 0.967436
6.350000 0.975549
6.450000 0.985001
6.550000 0.969506
6.650000 0.940258
6.750000 0.961254
6.850000 0.968093
6.950000 0.980658
7.050000 0.967626
7.150000 0.969387
7.250000 0.963134
7.350000 0.974589
7.450000 0.962900
7.550000 1.011731
7.650000 0.984051
7.750000 0.974311
7.850000 0.965189
7.950000 0.971152
8.050000 0.950552
8.150000 0.979485
8.250000 0.967543
8.350000 0.986896
8.450000 1.098579
8.550000 0.953806
8.650000 0.980523
8.750000 0.951805
8.850000 0.980030
8.950000 0.955691
9.050000 0.988146
9.150000 0.941171
9.250000 0.980578
9.350000 0.980688
9.450000 0.970308
9.550000 0.973048
9.650000 0.967678
9.750000 0.978876
9.850000 0.981947
9.950000 0.965764
10.050000 0.968721
10.150000 0.960352
10.250000 0.962282
10.350000 1.045065
10.450000 0.970406
10.550000 0.967586
10.650000 0.974592
10.750000 0.997393
10.850000 0.974792
10.950000 0.983201
11.050000 0.983975
11.150000 0.985885
11.250000 0.969193
11.350000 0.982779
11.450000 0.980716
11.550000 0.973449
11.650000 0.976064
11.750000 0.976270
11.850000 0.988022
11.950000 0.972609
12.050000 1.006758
12.150000 0.978112
12.250000 0.964123
12.350000 0.977639
12.450000 0.962262
12.550000 0.987731
12.650000 0.979444
12.750000 0.984341
12.850000 0.982007
12.950000 0.974568
13.050000 0.964671
13.150000 0.984000
13.250000 0.973645
13.350000 0.970783
13.450000 1.100410
13.550000 0.976841
13.650000 0.978883
13.750000 0.997987
13.850000 0.980560
13.950000 0.971896
14.050000 0.983133
14.150000 0.995732
14.250000 0.981132
14.350000 0.981193
14.450000 0.969101
14.550000 0.972695
14.650000 1.078740
14.750000 0.973287
14.850000 0.977037
14.950000 0.991253
