# rho counts_4x2x2 counts_6x3x3 counts_8x4x4
7.499999999999999722e-03 4.220000000000000000e+02 2.726000000000000000e+03 2.224100000000000000e+04
2.249999999999999917e-02 1.338000000000000000e+03 5.302000000000000000e+03 0.000000000000000000e+00
3.749999999999999861e-02 1.465000000000000000e+03 5.845000000000000000e+03 1.985800000000000000e+04
5.249999999999999806e-02 7.460000000000000000e+02 4.792000000000000000e+03 0.000000000000000000e+00
6.750000000000000444e-02 4.850000000000000000e+02 3.332000000000000000e+03 1.183700000000000000e+04
8.249999999999999001e-02 3.590000000000000000e+02 2.160000000000000000e+03 0.000000000000000000e+00
9.750000000000000333e-02 4.120000000000000000e+02 1.258000000000000000e+03 0.000000000000000000e+00
1.124999999999999889e-01 4.950000000000000000e+02 7.020000000000000000e+02 6.981000000000000000e+03
1.275000000000000022e-01 7.080000000000000000e+02 4.190000000000000000e+02 0.000000000000000000e+00
1.425000000000000155e-01 4.480000000000000000e+02 2.460000000000000000e+02 4.528000000000000000e+03
1.574999999999999734e-01 3.950000000000000000e+02 1.260000000000000000e+02 0.000000000000000000e+00
1.724999999999999867e-01 2.830000000000000000e+02 7.100000000000000000e+01 0.000000000000000000e+00
1.875000000000000000e-01 2.430000000000000000e+02 6.300000000000000000e+01 3.551000000000000000e+03
2.025000000000000133e-01 1.400000000000000000e+02 7.400000000000000000e+01 0.000000000000000000e+00
2.174999999999999711e-01 1.000000000000000000e+02 7.600000000000000000e+01 2.996000000000000000e+03
2.324999999999999845e-01 7.400000000000000000e+01 1.000000000000000000e+02 0.000000000000000000e+00
2.474999999999999978e-01 1.580000000000000000e+02 1.610000000000000000e+02 0.000000000000000000e+00
2.625000000000000111e-01 1.700000000000000000e+02 1.900000000000000000e+02 2.545000000000000000e+03
2.774999999999999689e-01 2.600000000000000000e+02 2.620000000000000000e+02 0.000000000000000000e+00
2.924999999999999822e-01 2.940000000000000000e+02 2.890000000000000000e+02 2.070000000000000000e+03
3.074999999999999956e-01 4.530000000000000000e+02 3.910000000000000000e+02 0.000000000000000000e+00
3.225000000000000089e-01 3.480000000000000000e+02 4.400000000000000000e+02 0.000000000000000000e+00
3.374999999999999667e-01 3.280000000000000000e+02 5.400000000000000000e+02 1.814000000000000000e+03
3.524999999999999800e-01 3.110000000000000000e+02 6.660000000000000000e+02 0.000000000000000000e+00
3.674999999999999933e-01 3.450000000000000000e+02 0.000000000000000000e+00 1.719000000000000000e+03
3.825000000000000067e-01 4.140000000000000000e+02 7.700000000000000000e+02 0.000000000000000000e+00
3.974999999999999645e-01 2.420000000000000000e+02 8.040000000000000000e+02 0.000000000000000000e+00
4.124999999999999778e-01 1.960000000000000000e+02 8.710000000000000000e+02 1.773000000000000000e+03
4.274999999999999911e-01 1.580000000000000000e+02 9.700000000000000000e+02 0.000000000000000000e+00
4.425000000000000044e-01 1.200000000000000000e+02 1.072000000000000000e+03 1.944000000000000000e+03
4.574999999999999623e-01 4.700000000000000000e+01 1.092000000000000000e+03 0.000000000000000000e+00
4.724999999999999756e-01 3.800000000000000000e+01 1.139000000000000000e+03 0.000000000000000000e+00
4.874999999999999889e-01 9.000000000000000000e+00 1.070000000000000000e+03 2.431000000000000000e+03
5.024999999999999467e-01 5.000000000000000000e+00 1.073000000000000000e+03 0.000000000000000000e+00
5.175000000000000711e-01 5.000000000000000000e+00 1.035000000000000000e+03 3.343000000000000000e+03
5.324999999999999734e-01 1.000000000000000000e+00 9.930000000000000000e+02 0.000000000000000000e+00
5.474999999999999867e-01 1.300000000000000000e+01 9.260000000000000000e+02 0.000000000000000000e+00
5.625000000000000000e-01 2.000000000000000000e+01 8.150000000000000000e+02 4.487000000000000000e+03
5.774999999999999023e-01 4.800000000000000000e+01 7.280000000000000000e+02 0.000000000000000000e+00
5.925000000000000266e-01 1.040000000000000000e+02 7.130000000000000000e+02 5.631000000000000000e+03
6.074999999999999289e-01 1.840000000000000000e+02 7.390000000000000000e+02 0.000000000000000000e+00
6.225000000000000533e-01 4.370000000000000000e+02 8.440000000000000000e+02 6.572000000000000000e+03
6.374999999999999556e-01 5.590000000000000000e+02 9.520000000000000000e+02 0.000000000000000000e+00
6.524999999999999689e-01 6.950000000000000000e+02 1.104000000000000000e+03 0.000000000000000000e+00
6.674999999999999822e-01 7.520000000000000000e+02 1.095000000000000000e+03 6.828000000000000000e+03
6.824999999999998845e-01 7.220000000000000000e+02 1.164000000000000000e+03 0.000000000000000000e+00
6.975000000000000089e-01 2.970000000000000000e+02 1.116000000000000000e+03 5.979000000000000000e+03
7.124999999999999112e-01 1.240000000000000000e+02 9.310000000000000000e+02 0.000000000000000000e+00
7.275000000000000355e-01 3.400000000000000000e+01 7.420000000000000000e+02 0.000000000000000000e+00
7.424999999999999378e-01 9.000000000000000000e+00 0.000000000000000000e+00 4.311000000000000000e+03
7.575000000000000622e-01 3.000000000000000000e+00 4.620000000000000000e+02 0.000000000000000000e+00
7.724999999999999645e-01 0.000000000000000000e+00 3.080000000000000000e+02 2.579000000000000000e+03
7.874999999999999778e-01 0.000000000000000000e+00 1.730000000000000000e+02 0.000000000000000000e+00
8.024999999999999911e-01 0.000000000000000000e+00 7.200000000000000000e+01 0.000000000000000000e+00
8.174999999999998934e-01 0.000000000000000000e+00 3.800000000000000000e+01 1.308000000000000000e+03
8.325000000000000178e-01 0.000000000000000000e+00 7.000000000000000000e+00 0.000000000000000000e+00
8.474999999999999201e-01 0.000000000000000000e+00 5.000000000000000000e+00 5.670000000000000000e+02
8.625000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.774999999999999467e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.924999999999999600e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.720000000000000000e+02
9.074999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.224999999999998757e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.300000000000000000e+01
9.375000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.524999999999999023e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.675000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000000000e+01
9.824999999999999289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.974999999999999423e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00
1.012499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.027499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.042499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.057500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.072500000000000009e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.087499999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.102500000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.117499999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.132499999999999840e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.147499999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.162500000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.177499999999999991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.192499999999999893e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.207500000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.222499999999999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237499999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.252499999999999947e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.267500000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.282499999999999973e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.297499999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.312500000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.327499999999999902e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.342499999999999805e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.357499999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.372500000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.387499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.402499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.417499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.432500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.447499999999999787e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
