# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.141141141141140292e+00 -2.757424304603172004e+03 1.709999999999998636e+03 -4.467424304603170640e+03 3.130828929442941444e-14 3.488181965494163705e-14 1.332267629550187849e-15
1.000000000000000000e+02 5.000000000000000000e-01 9.890858870650813817e-01 -2.609851400317976641e+03 1.482145201767024446e+03 -4.091996602085001086e+03 4.207745263329343288e-14 4.274358644806852681e-14 -3.352873534367972752e-14
2.000000000000000000e+02 1.000000000000000000e+00 9.626046852606046089e-01 -2.473221096815280362e+03 1.442463120863016002e+03 -3.915684217678296136e+03 3.297917494649027503e-13 6.955547249276605726e-14 -8.881784197001252323e-16
3.000000000000000000e+02 1.500000000000000000e+00 8.808381529292454992e-01 -2.382575597054530590e+03 1.319935972164474379e+03 -3.702511569219004741e+03 3.167466289255571610e-13 -2.095545958979982970e-15 8.215650382226158399e-15
4.000000000000000000e+02 2.000000000000000000e+00 9.159499100691108620e-01 -2.127167567496790980e+03 1.372550940238562589e+03 -3.499718507735353796e+03 2.829611545074328660e-13 4.829470157119430951e-15 -1.110223024625156540e-15
5.000000000000000000e+02 2.500000000000000000e+00 9.308827757213083975e-01 -1.941191311753786067e+03 1.394927839418380699e+03 -3.336119151172166767e+03 1.451616604697392177e-13 -4.701794509287537949e-14 -3.830269434956790064e-15
6.000000000000000000e+02 3.000000000000000000e+00 9.439281430014354601e-01 -1.760394362069608405e+03 1.414476322287651101e+03 -3.174870684357259506e+03 1.474376176702207886e-13 -5.273559366969493567e-14 2.597921877622866305e-14
7.000000000000000000e+02 3.500000000000000000e+00 9.647384246180692458e-01 -1.641681922784597646e+03 1.445660529290176783e+03 -3.087342452074774428e+03 2.396138842897244103e-13 -1.098010571354279818e-13 8.687842112387045290e-14
8.000000000000000000e+02 4.000000000000000000e+00 1.001913926194784255e+00 -1.468315493419265522e+03 1.501368018402884218e+03 -2.969683511822149740e+03 3.685940441755519714e-13 -1.603162047558726044e-13 4.618527782440651208e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.017828897174614999e+00 -1.396044729859406743e+03 1.525216602416160640e+03 -2.921261332275567383e+03 1.697808560408020639e-13 -1.947331185192524572e-13 5.551115123125782702e-15
1.000000000000000000e+03 5.000000000000000000e+00 1.006100785031478484e+00 -1.286961116533435870e+03 1.507642026369670475e+03 -2.794603142903106345e+03 1.948545491625708337e-13 -1.475486399726833042e-13 3.791411629094909586e-14
1.100000000000000000e+03 5.500000000000000000e+00 9.853951300528883683e-01 -1.221117469196965658e+03 1.476614602384253203e+03 -2.697732071581218861e+03 2.147726441137365327e-13 -2.021716127842410060e-13 8.049116928532384918e-14
1.200000000000000000e+03 6.000000000000000000e+00 1.019130581715689043e+00 -1.143206776398439388e+03 1.527167176700959999e+03 -2.670373953099399387e+03 1.507960423197118871e-13 -2.102762408640046488e-13 7.394085344003542559e-14
1.300000000000000000e+03 6.500000000000000000e+00 1.087783637814294435e+00 -9.830112447824669744e+02 1.630043781264720337e+03 -2.613055026047187312e+03 1.515454428613338678e-13 -2.271516308383070282e-13 5.573319583618285833e-14
1.400000000000000000e+03 7.000000000000000000e+00 1.101431093197698941e+00 -9.057840118037702268e+02 1.650494493156752014e+03 -2.556278504960522241e+03 2.402522625288838753e-13 -1.820765760385256726e-13 -3.330669073875469621e-14
1.500000000000000000e+03 7.500000000000000000e+00 1.114626636804927795e+00 -8.538645360560640256e+02 1.670268015252184341e+03 -2.524132551308248367e+03 2.062794379753540852e-13 -1.803002191991254222e-13 1.210143096841420629e-14
1.600000000000000000e+03 8.000000000000000000e+00 1.121443810523606643e+00 -8.253349203540367398e+02 1.680483550069624698e+03 -2.505818470423661438e+03 2.637889906509371940e-13 -1.025846074753644643e-13 1.598721155460225418e-14
1.700000000000000000e+03 8.500000000000000000e+00 1.111671218739603173e+00 -7.705607894870020118e+02 1.665839321281295497e+03 -2.436400110768297509e+03 3.752553823233029107e-13 -1.834088436680758605e-13 1.194599974496668437e-13
1.800000000000000000e+03 9.000000000000000000e+00 1.081427490347832476e+00 -7.735813391317321930e+02 1.620519094286227073e+03 -2.394100433417959266e+03 4.158895450245836400e-13 -1.370743796247353430e-13 1.288413820077494165e-13
1.900000000000000000e+03 9.500000000000000000e+00 1.082603249165073889e+00 -7.477665310961449450e+02 1.622280968873863230e+03 -2.370047499970008175e+03 3.084199562408684869e-13 -1.434408147815702250e-13 5.406786129924512352e-14
2.000000000000000000e+03 1.000000000000000000e+01 1.074158932905131980e+00 -7.829271174049588353e+02 1.609627160958340255e+03 -2.392554278363299090e+03 3.708144902248022845e-13 -1.598443599704069129e-13 6.294964549624637584e-14
2.100000000000000000e+03 1.050000000000000000e+01 1.076331026972894511e+00 -7.253679447897952741e+02 1.612882043918882573e+03 -2.338249988708677847e+03 3.139710713639942696e-13 -1.862954235321012675e-13 7.027711745877240901e-14
2.200000000000000000e+03 1.100000000000000000e+01 1.120648633904813396e+00 -6.215002085162843741e+02 1.679291977906362945e+03 -2.300792186422647319e+03 4.736211423050917801e-13 -1.609823385706476984e-13 9.492406860545088421e-14
2.300000000000000000e+03 1.150000000000000000e+01 1.115281683844969285e+00 -6.131494733812210143e+02 1.671249603241686600e+03 -2.284399076622907614e+03 4.547473508864641190e-13 -1.891820033961266745e-13 3.774758283725532237e-14
2.400000000000000000e+03 1.200000000000000000e+01 1.076182834939829025e+00 -6.721691057095270025e+02 1.612659978157333853e+03 -2.284829083866860856e+03 4.043432255684820120e-13 -1.805222638040504535e-13 1.082467449009527627e-13
2.500000000000000000e+03 1.250000000000000000e+01 1.091443837760579516e+00 -6.178010299193515493e+02 1.635528590884228379e+03 -2.253329620803579928e+03 4.081179838522075443e-13 -2.717825964282383211e-13 1.681432770794799580e-13
2.600000000000000000e+03 1.300000000000000000e+01 1.114155777915626144e+00 -5.525787597530393214e+02 1.669562433206565856e+03 -2.222141192959605178e+03 4.143352327901084209e-13 -3.044231533522179234e-13 2.045585922871850926e-13
2.700000000000000000e+03 1.350000000000000000e+01 1.130921272927892574e+00 -4.687325400025379167e+02 1.694685527482447014e+03 -2.163418067484984931e+03 4.187761248886090470e-13 -2.665645482125000854e-13 2.288724765264760208e-13
2.800000000000000000e+03 1.400000000000000000e+01 1.104644787075688139e+00 -4.814669927718352938e+02 1.655310213432918545e+03 -2.136777206204753838e+03 4.197198144595404301e-13 -2.858199787958426441e-13 2.389199948993336875e-13
2.900000000000000000e+03 1.450000000000000000e+01 1.073791761781952347e+00 -4.625276991115263172e+02 1.609076955030255476e+03 -2.071604654141781793e+03 3.894662370385049144e-13 -3.630429290524261887e-13 3.548272786702000303e-13
3.000000000000000000e+03 1.500000000000000000e+01 1.155738798043115079e+00 -4.095344220060210318e+02 1.731874588867608054e+03 -2.141409010873629086e+03 3.027578188152801886e-13 -3.266276138447210542e-13 3.567146578120627964e-13
