# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.201201201201198110e+00 -2.667424304603175187e+03 1.799999999999995453e+03 -4.467424304603170640e+03 1.820765760385256726e-14 -5.881406472951766773e-14 -1.615374500829602766e-14
1.000000000000000000e+02 5.000000000000000000e-01 1.049463724505984130e+00 -2.522693556922085918e+03 1.572621391172217272e+03 -4.095314948094303418e+03 -1.562083795647595252e-13 -6.755707104844077548e-14 -3.397282455352979014e-14
2.000000000000000000e+02 1.000000000000000000e+00 1.027873135749048483e+00 -2.316056665353550670e+03 1.540267893919949302e+03 -3.856324559273500199e+03 -1.967315199635777390e-13 -1.310063169057684718e-14 2.975397705995419528e-14
3.000000000000000000e+02 1.500000000000000000e+00 9.733086488162052685e-01 -2.150582873549311898e+03 1.458503010251083651e+03 -3.609085883800395550e+03 -1.838529328779259231e-13 -8.082423619271139614e-14 1.049160758270772931e-13
4.000000000000000000e+02 2.000000000000000000e+00 9.636970700220420794e-01 -1.986226387873475005e+03 1.444100059428030136e+03 -3.430326447301505141e+03 -3.059080766476540703e-13 -6.311617894994014932e-14 1.011413175433517608e-13
5.000000000000000000e+02 2.500000000000000000e+00 9.944521891574317207e-01 -1.752223806182312501e+03 1.490186605452411413e+03 -3.242410411634723914e+03 1.665334536937734811e-14 -6.183942247162121930e-14 8.115730310009894310e-14
6.000000000000000000e+02 3.000000000000000000e+00 9.970893825264762755e-01 -1.587357573971770080e+03 1.494138439715924733e+03 -3.081496013687694813e+03 7.616129948928573867e-14 -7.507883204027621105e-15 -5.551115123125782702e-15
7.000000000000000000e+02 3.500000000000000000e+00 9.996491064672142768e-01 -1.482052600584181846e+03 1.497974186041120674e+03 -2.980026786625302520e+03 -1.668110094499297702e-13 -3.552713678800500929e-15 2.761679773755076894e-14
8.000000000000000000e+02 4.000000000000000000e+00 1.024974234166854403e+00 -1.363712725043243836e+03 1.535923889899031337e+03 -2.899636614942275173e+03 -2.627897899287745531e-13 -5.284661597215745132e-14 -2.392530618067212345e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.043758140698048953e+00 -1.245495200423427377e+03 1.564071573836026346e+03 -2.809566774259453723e+03 -3.078093335773246508e-14 -3.774758283725532237e-14 -8.437694987151189707e-15
