# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.061061061061062016e+00 -2.877424304603168821e+03 1.590000000000001592e+03 -4.467424304603170640e+03 -6.794564910705958027e-14 1.953992523340275511e-14 -8.171241461241152138e-14
1.000000000000000000e+02 5.000000000000000000e-01 9.190943414215959617e-01 -2.760511258793275374e+03 1.377262870620261538e+03 -4.137774129413536684e+03 -1.554312234475219157e-13 9.298117831235686026e-14 -8.570921750106208492e-14
2.000000000000000000e+02 1.000000000000000000e+00 8.771863987855340605e-01 -2.682481946447246173e+03 1.314463818580122734e+03 -3.996945765027368907e+03 -1.692812556797207435e-13 5.129230373768223217e-14 -9.725553695716371294e-14
3.000000000000000000e+02 1.500000000000000000e+00 8.533058360549887755e-01 -2.551134716174376535e+03 1.278678795328400611e+03 -3.829813511502777146e+03 -1.408873018249323650e-13 -3.186340080674199271e-14 -5.745404152435185097e-14
4.000000000000000000e+02 2.000000000000000000e+00 8.580635951753453616e-01 -2.398488879722015554e+03 1.285808297370255104e+03 -3.684297177092270431e+03 -1.695310558602614037e-13 -7.188694084447888599e-14 -1.343369859796439414e-13
5.000000000000000000e+02 2.500000000000000000e+00 8.941273972584602436e-01 -2.232819910056790377e+03 1.339849904791802601e+03 -3.572669814848592978e+03 -9.769962616701377556e-14 3.197442310920450836e-14 -2.764455331316639786e-14
6.000000000000000000e+02 3.000000000000000000e+00 9.044301999372734713e-01 -2.108853568055021242e+03 1.355288654606004229e+03 -3.464142222661025244e+03 -1.247890679678675951e-13 -7.016609515630989335e-14 -4.041211809635569807e-14
7.000000000000000000e+02 3.500000000000000000e+00 9.065702100042661860e-01 -2.026335482313425246e+03 1.358495459691392853e+03 -3.384830942004818098e+03 -2.253752739989067777e-13 -6.472600233564662631e-14 -4.252154184314349550e-14
8.000000000000000000e+02 4.000000000000000000e+00 9.336753490690219426e-01 -1.933867189387586905e+03 1.399112510579929449e+03 -3.332979699967516353e+03 -2.418065747633590945e-13 -6.528111384795920458e-14 -5.417888360170763917e-14
9.000000000000000000e+02 4.500000000000000000e+00 9.288600841913107198e-01 -1.853832576433058193e+03 1.391896836160679186e+03 -3.245729412593737379e+03 -2.129962872743362823e-13 -4.696243394164412166e-14 -1.053601650369273557e-13
1.000000000000000000e+03 5.000000000000000000e+00 9.713048536147934620e-01 -1.761059389101120132e+03 1.455500323141767922e+03 -3.216559712242888054e+03 -1.665334536937734811e-13 -6.611378111642807198e-14 -6.937506125126446932e-14
1.100000000000000000e+03 5.500000000000000000e+00 9.543612436174830904e-01 -1.756494186707281642e+03 1.430110323560798406e+03 -3.186604510268080048e+03 -2.009503674571533338e-13 3.463895836830488406e-14 -9.492406860545088421e-14
