# rho counts_4x2x2 counts_6x3x3 counts_8x4x4
7.499999999999999722e-03 0.000000000000000000e+00 1.000000000000000000e+01 1.582000000000000000e+03
2.249999999999999917e-02 0.000000000000000000e+00 5.600000000000000000e+01 0.000000000000000000e+00
3.749999999999999861e-02 0.000000000000000000e+00 1.530000000000000000e+02 4.683000000000000000e+03
5.249999999999999806e-02 1.000000000000000000e+00 3.750000000000000000e+02 0.000000000000000000e+00
6.750000000000000444e-02 2.000000000000000000e+01 6.880000000000000000e+02 8.049000000000000000e+03
8.249999999999999001e-02 7.800000000000000000e+01 1.091000000000000000e+03 0.000000000000000000e+00
9.750000000000000333e-02 1.750000000000000000e+02 1.553000000000000000e+03 0.000000000000000000e+00
1.124999999999999889e-01 3.190000000000000000e+02 1.863000000000000000e+03 1.033800000000000000e+04
1.275000000000000022e-01 7.330000000000000000e+02 2.155000000000000000e+03 0.000000000000000000e+00
1.425000000000000155e-01 6.910000000000000000e+02 2.273000000000000000e+03 1.112000000000000000e+04
1.574999999999999734e-01 7.550000000000000000e+02 2.441000000000000000e+03 0.000000000000000000e+00
1.724999999999999867e-01 8.390000000000000000e+02 2.437000000000000000e+03 0.000000000000000000e+00
1.875000000000000000e-01 9.540000000000000000e+02 2.384000000000000000e+03 1.107500000000000000e+04
2.025000000000000133e-01 6.800000000000000000e+02 2.303000000000000000e+03 0.000000000000000000e+00
2.174999999999999711e-01 6.350000000000000000e+02 2.144000000000000000e+03 1.026500000000000000e+04
2.324999999999999845e-01 6.030000000000000000e+02 2.066000000000000000e+03 0.000000000000000000e+00
2.474999999999999978e-01 8.240000000000000000e+02 1.949000000000000000e+03 0.000000000000000000e+00
2.625000000000000111e-01 6.160000000000000000e+02 1.781000000000000000e+03 9.445000000000000000e+03
2.774999999999999689e-01 5.710000000000000000e+02 1.689000000000000000e+03 0.000000000000000000e+00
2.924999999999999822e-01 5.400000000000000000e+02 1.578000000000000000e+03 8.566000000000000000e+03
3.074999999999999956e-01 6.640000000000000000e+02 1.572000000000000000e+03 0.000000000000000000e+00
3.225000000000000089e-01 4.440000000000000000e+02 1.548000000000000000e+03 0.000000000000000000e+00
3.374999999999999667e-01 4.580000000000000000e+02 1.495000000000000000e+03 8.223000000000000000e+03
3.524999999999999800e-01 4.010000000000000000e+02 1.460000000000000000e+03 0.000000000000000000e+00
3.674999999999999933e-01 4.090000000000000000e+02 0.000000000000000000e+00 7.634000000000000000e+03
3.825000000000000067e-01 6.620000000000000000e+02 1.516000000000000000e+03 0.000000000000000000e+00
3.974999999999999645e-01 4.750000000000000000e+02 1.397000000000000000e+03 0.000000000000000000e+00
4.124999999999999778e-01 4.830000000000000000e+02 1.411000000000000000e+03 7.307000000000000000e+03
4.274999999999999911e-01 4.660000000000000000e+02 1.463000000000000000e+03 0.000000000000000000e+00
4.425000000000000044e-01 5.670000000000000000e+02 1.446000000000000000e+03 6.958000000000000000e+03
4.574999999999999623e-01 4.320000000000000000e+02 1.402000000000000000e+03 0.000000000000000000e+00
4.724999999999999756e-01 3.780000000000000000e+02 1.322000000000000000e+03 0.000000000000000000e+00
4.874999999999999889e-01 3.430000000000000000e+02 1.219000000000000000e+03 6.321000000000000000e+03
5.024999999999999467e-01 3.810000000000000000e+02 1.137000000000000000e+03 0.000000000000000000e+00
5.175000000000000711e-01 1.900000000000000000e+02 1.082000000000000000e+03 5.438000000000000000e+03
5.324999999999999734e-01 9.700000000000000000e+01 8.990000000000000000e+02 0.000000000000000000e+00
5.474999999999999867e-01 7.200000000000000000e+01 8.040000000000000000e+02 0.000000000000000000e+00
5.625000000000000000e-01 4.300000000000000000e+01 6.000000000000000000e+02 4.244000000000000000e+03
5.774999999999999023e-01 1.200000000000000000e+01 4.510000000000000000e+02 0.000000000000000000e+00
5.925000000000000266e-01 4.000000000000000000e+00 3.300000000000000000e+02 3.095000000000000000e+03
6.074999999999999289e-01 1.000000000000000000e+00 2.090000000000000000e+02 0.000000000000000000e+00
6.225000000000000533e-01 0.000000000000000000e+00 1.560000000000000000e+02 1.911000000000000000e+03
6.374999999999999556e-01 0.000000000000000000e+00 8.000000000000000000e+01 0.000000000000000000e+00
6.524999999999999689e-01 0.000000000000000000e+00 3.400000000000000000e+01 0.000000000000000000e+00
6.674999999999999822e-01 0.000000000000000000e+00 1.500000000000000000e+01 1.084000000000000000e+03
6.824999999999998845e-01 0.000000000000000000e+00 1.000000000000000000e+01 0.000000000000000000e+00
6.975000000000000089e-01 0.000000000000000000e+00 4.000000000000000000e+00 5.000000000000000000e+02
7.124999999999999112e-01 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
7.275000000000000355e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.424999999999999378e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+02
7.575000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.724999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.100000000000000000e+01
7.874999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.024999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.174999999999998934e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000000000e+01
8.325000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.474999999999999201e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00
8.625000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.774999999999999467e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.924999999999999600e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.074999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.224999999999998757e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.375000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.524999999999999023e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.675000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.824999999999999289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.974999999999999423e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.027499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.042499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.057500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.072500000000000009e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.087499999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.102500000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.117499999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.132499999999999840e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.147499999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.162500000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.177499999999999991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.192499999999999893e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.207500000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.222499999999999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237499999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.252499999999999947e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.267500000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.282499999999999973e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.297499999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.312500000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.327499999999999902e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.342499999999999805e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.357499999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.372500000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.387499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.402499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.417499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.432500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.447499999999999787e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.462499999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.477500000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.492499999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
