# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.091091091091091592e+00 -2.832424304603169730e+03 1.635000000000000682e+03 -4.467424304603170640e+03 -9.325873406851314940e-14 -4.285460875053104246e-14 -4.107825191113079200e-15
1.000000000000000000e+02 5.000000000000000000e-01 9.560493316228197980e-01 -2.684900587672263100e+03 1.432639923436795470e+03 -4.117540511109058571e+03 -7.038813976123492466e-14 -9.825473767932635383e-15 -4.707345624410663731e-14
2.000000000000000000e+02 1.000000000000000000e+00 9.054107692746456992e-01 -2.597694570244958413e+03 1.356758037758056616e+03 -3.954452608003015030e+03 7.677192215282957477e-14 5.584421813864537398e-14 -4.546363285840016033e-14
3.000000000000000000e+02 1.500000000000000000e+00 8.596583073934791486e-01 -2.483305549641163452e+03 1.288197973629128455e+03 -3.771503523270292135e+03 -1.725841691779805842e-13 4.596323321948148077e-14 1.267042026853459902e-14
4.000000000000000000e+02 2.000000000000000000e+00 8.860514256698476254e-01 -2.276618940558256327e+03 1.327748061366266711e+03 -3.604367001924523265e+03 -6.050715484207103145e-14 2.087219286295294296e-14 4.551914400963141816e-15
5.000000000000000000e+02 2.500000000000000000e+00 8.946197559760415974e-01 -2.117820676913189800e+03 1.340587704330098404e+03 -3.458408381243288204e+03 -1.842415109365447279e-13 3.355649091929535643e-14 -9.586775817638226727e-14
6.000000000000000000e+02 3.000000000000000000e+00 8.896870471615432319e-01 -2.038918123079165753e+03 1.333196040171572577e+03 -3.372114163250738329e+03 -1.050270981295398087e-13 8.437694987151189707e-15 -7.099876242477876076e-14
7.000000000000000000e+02 3.500000000000000000e+00 9.657124519666069329e-01 -1.845587605353947083e+03 1.447120109271960473e+03 -3.292707714625907556e+03 -1.820765760385256726e-13 1.709743457922741072e-14 -8.015810237793630222e-14
8.000000000000000000e+02 4.000000000000000000e+00 1.018597971545211367e+00 -1.672015559572207167e+03 1.526369060360499134e+03 -3.198384619932706300e+03 -2.909894547542535292e-13 1.409983241273948806e-14 -7.072120666862247162e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.021258925864754419e+00 -1.594855568210844240e+03 1.530356500408334568e+03 -3.125212068619178808e+03 -2.605693438795242400e-13 2.731148640577885089e-14 -9.758860386455125990e-14
1.000000000000000000e+03 5.000000000000000000e+00 1.014898760310779302e+00 -1.559862410086528371e+03 1.520825792325702650e+03 -3.080688202412231021e+03 -2.252642516964442621e-13 6.794564910705958027e-14 -7.105427357601001859e-14
1.100000000000000000e+03 5.500000000000000000e+00 1.034533398630041789e+00 -1.480197553220701593e+03 1.550248297847117556e+03 -3.030445851067819149e+03 -3.916866830877552275e-13 3.774758283725532237e-14 -7.371880883511039428e-14
1.200000000000000000e+03 6.000000000000000000e+00 9.958888965010166405e-01 -1.439922339851953438e+03 1.492339511406773454e+03 -2.932261851258726892e+03 -3.705091788930303665e-13 2.223221606811875972e-14 -8.998357614586893760e-14
1.300000000000000000e+03 6.500000000000000000e+00 1.007431801178999553e+00 -1.354314318043431967e+03 1.509636554066730923e+03 -2.863950872110162891e+03 -3.504974088741619198e-13 4.973799150320701301e-14 -1.600941601509475731e-13
1.400000000000000000e+03 7.000000000000000000e+00 1.008851667491106996e+00 -1.280567567921581258e+03 1.511764223735423684e+03 -2.792331791657004942e+03 -3.638755963208950561e-13 -2.098321516541545861e-14 -1.685318551380987628e-13
1.500000000000000000e+03 7.500000000000000000e+00 1.000135043602648155e+00 -1.233542974887551736e+03 1.498702362838568206e+03 -2.732245337726119942e+03 -3.945177518005493766e-13 -2.220446049250313081e-16 -2.376709939966303864e-13
1.600000000000000000e+03 8.000000000000000000e+00 1.004063504630201775e+00 -1.186662309972496132e+03 1.504589161688357308e+03 -2.691251471660853440e+03 -5.915268275202834047e-13 2.819966482547897613e-14 -1.621480727465041127e-13
1.700000000000000000e+03 8.500000000000000000e+00 1.002065600880132745e+00 -1.146795601973734847e+03 1.501595302918879042e+03 -2.648390904892613889e+03 -4.281019982954603620e-13 -1.276756478318930021e-14 -2.499667139943539951e-13
1.800000000000000000e+03 9.000000000000000000e+00 1.026215297530628012e+00 -1.063813256129803904e+03 1.537783623349645950e+03 -2.601596879479449854e+03 -4.398703623564870213e-13 3.852473895449293195e-14 -1.814104422237505787e-13
1.900000000000000000e+03 9.500000000000000000e+00 1.034915151025840752e+00 -1.030741228336180711e+03 1.550820353812222265e+03 -2.581561582148402977e+03 -4.802824804528427194e-13 1.287858708565181587e-14 -2.208233595979436359e-13
2.000000000000000000e+03 1.000000000000000000e+01 1.011888805454306706e+00 -9.865837547771275240e+02 1.516315374973278722e+03 -2.502899129750406246e+03 -4.976019596369951614e-13 -7.993605777301127091e-15 -2.030597912039411312e-13
