# rho counts_4x2x2 counts_6x3x3 counts_8x4x4
7.499999999999999722e-03 1.200000000000000000e+01 4.920000000000000000e+02 1.051700000000000000e+04
2.249999999999999917e-02 1.010000000000000000e+02 1.554000000000000000e+03 0.000000000000000000e+00
3.749999999999999861e-02 4.660000000000000000e+02 2.722000000000000000e+03 1.555300000000000000e+04
5.249999999999999806e-02 9.160000000000000000e+02 3.443000000000000000e+03 0.000000000000000000e+00
6.750000000000000444e-02 1.284000000000000000e+03 3.677000000000000000e+03 1.410200000000000000e+04
8.249999999999999001e-02 6.930000000000000000e+02 3.584000000000000000e+03 0.000000000000000000e+00
9.750000000000000333e-02 4.310000000000000000e+02 2.937000000000000000e+03 0.000000000000000000e+00
1.124999999999999889e-01 3.430000000000000000e+02 2.343000000000000000e+03 1.058300000000000000e+04
1.275000000000000022e-01 4.590000000000000000e+02 1.939000000000000000e+03 0.000000000000000000e+00
1.425000000000000155e-01 4.020000000000000000e+02 1.444000000000000000e+03 7.347000000000000000e+03
1.574999999999999734e-01 4.400000000000000000e+02 1.026000000000000000e+03 0.000000000000000000e+00
1.724999999999999867e-01 4.660000000000000000e+02 8.110000000000000000e+02 0.000000000000000000e+00
1.875000000000000000e-01 6.040000000000000000e+02 5.190000000000000000e+02 5.296000000000000000e+03
2.025000000000000133e-01 4.330000000000000000e+02 4.300000000000000000e+02 0.000000000000000000e+00
2.174999999999999711e-01 4.660000000000000000e+02 3.520000000000000000e+02 4.275000000000000000e+03
2.324999999999999845e-01 4.390000000000000000e+02 3.210000000000000000e+02 0.000000000000000000e+00
2.474999999999999978e-01 5.540000000000000000e+02 3.350000000000000000e+02 0.000000000000000000e+00
2.625000000000000111e-01 3.890000000000000000e+02 3.640000000000000000e+02 3.673000000000000000e+03
2.774999999999999689e-01 4.090000000000000000e+02 4.130000000000000000e+02 0.000000000000000000e+00
2.924999999999999822e-01 4.010000000000000000e+02 4.750000000000000000e+02 3.343000000000000000e+03
3.074999999999999956e-01 5.440000000000000000e+02 5.460000000000000000e+02 0.000000000000000000e+00
3.225000000000000089e-01 3.320000000000000000e+02 6.350000000000000000e+02 0.000000000000000000e+00
3.374999999999999667e-01 3.170000000000000000e+02 7.230000000000000000e+02 3.221000000000000000e+03
3.524999999999999800e-01 3.000000000000000000e+02 7.940000000000000000e+02 0.000000000000000000e+00
3.674999999999999933e-01 2.990000000000000000e+02 0.000000000000000000e+00 3.361000000000000000e+03
3.825000000000000067e-01 2.450000000000000000e+02 8.530000000000000000e+02 0.000000000000000000e+00
3.974999999999999645e-01 1.120000000000000000e+02 9.140000000000000000e+02 0.000000000000000000e+00
4.124999999999999778e-01 7.200000000000000000e+01 9.890000000000000000e+02 3.437000000000000000e+03
4.274999999999999911e-01 3.900000000000000000e+01 9.920000000000000000e+02 0.000000000000000000e+00
4.425000000000000044e-01 2.100000000000000000e+01 1.051000000000000000e+03 3.811000000000000000e+03
4.574999999999999623e-01 1.200000000000000000e+01 1.047000000000000000e+03 0.000000000000000000e+00
4.724999999999999756e-01 1.300000000000000000e+01 1.032000000000000000e+03 0.000000000000000000e+00
4.874999999999999889e-01 8.000000000000000000e+00 1.067000000000000000e+03 4.476000000000000000e+03
5.024999999999999467e-01 2.700000000000000000e+01 1.077000000000000000e+03 0.000000000000000000e+00
5.175000000000000711e-01 5.400000000000000000e+01 1.076000000000000000e+03 5.294000000000000000e+03
5.324999999999999734e-01 1.260000000000000000e+02 1.041000000000000000e+03 0.000000000000000000e+00
5.474999999999999867e-01 2.120000000000000000e+02 1.085000000000000000e+03 0.000000000000000000e+00
5.625000000000000000e-01 3.840000000000000000e+02 1.128000000000000000e+03 5.994000000000000000e+03
5.774999999999999023e-01 4.700000000000000000e+02 1.156000000000000000e+03 0.000000000000000000e+00
5.925000000000000266e-01 6.160000000000000000e+02 1.221000000000000000e+03 6.295000000000000000e+03
